FixtureId,WTEvent,StartTime,EndTime,Broadcaster,Server,Decoder,DataSource,Sport,Competition,Country,Home,Away,Status
3ea00b79-5c9d-4a39-96f9-50bcf9e32255, 10084173, 23/09/2026 06:00:00, 23/09/2026 11:00:00,608 - G-,Jpn5,Not Set,Stats Perform,Baseball, Japan - NPB - Male, Japan, Hiroshima Carp, Yomiuri Giants,
, 10079508, 23/09/2026 06:00:00, 23/09/2026 18:00:00,Stadium Feed,Euro112,DZN_Ch02,Legacy,Tennis, WTA Singapore, Singapore, , ,
, 10084205, 23/09/2026 06:00:00, 23/09/2026 20:00:00,Sport TV 6 [26],Euro83,MEO 1,Legacy,Tennis, Hangzhou Open, China PR, , ,
151d18c0-d8f6-4342-9417-f003f16ba066, 10079359, 23/09/2026 07:30:00, 23/09/2026 10:00:00,Stadium Feed,Euro101,ADC_CH03,Stats Perform,Basketball, World - FIBA Intercontinental Cup - Male, World, Shanghai Sharks, Tigers,
a80c31b2-cce8-4896-a7c0-3b1d57998067, 10086813, 23/09/2026 08:00:00, 23/09/2026 10:30:00,Sukachan 5 [585],Jpn10,Not Set,Stats Perform,Soccer, Japan - Emperor Cup - Male, Japan, Gamba Osaka, Tokushima Vortis,
88240f5d-c894-4468-af37-0d5eb4f3f194, 10084185, 23/09/2026 08:00:00, 23/09/2026 13:00:00,NTV News24 [571],Jpn10,Not Set,Stats Perform,Baseball, Japan - NPB - Male, Japan, Chiba Lotte Marines, Orix Buffaloes,switch
354b208d-b519-411e-adb8-1ba54b2c6645, 10084850, 23/09/2026 08:00:00, 23/09/2026 10:30:00,Sukachan 4 [584],Jpn12,Not Set,Stats Perform,Soccer, Japan - Emperor Cup - Male, Japan, Kashima Antlers, Ventforet Kofu,
obesBx9eikCah58JN6hg5w, 10085188, 23/09/2026 08:30:00, 23/09/2026 15:30:00,Modus,Euro205,IGM_MODUS_CH01,Manually Created,Darts, Modus Super Series, United Kingdom, , ,
f28bcdc9-69cb-4b10-b428-84c3e789dab4, 10077421, 23/09/2026 09:00:00, 23/09/2026 12:00:00,Infront,Euro203,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Amur, CSKA,
68bdc045-59df-4ebb-b61c-70311b56cd17, 10077330, 23/09/2026 09:00:00, 23/09/2026 12:00:00,Infront,Euro201,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Amur, CSKA,
65a40ccb-aec4-467f-b6f8-6107237a6f4e, 10084181, 23/09/2026 09:00:00, 23/09/2026 14:00:00,TBS2 Japan [617],Jpn8,Not Set,Stats Perform,Baseball, Japan - NPB - Male, Japan, Yokohama BayStars, Chunichi Dragons,
5a4cb484-657e-4125-a48f-f15767fb8e3a, 10084178, 23/09/2026 09:00:00, 23/09/2026 14:00:00,Gaora – 602,Jpn5,Not Set,Stats Perform,Baseball, Japan - NPB - Male, Japan, Nippon-Ham Fighters, Tohoku Rakuten,switch
, 10073346, 23/09/2026 09:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro108,CRO_CH26,,Tennis, WTA Ankara, Turkey, , ,
, 10086786, 23/09/2026 09:00:00, 23/09/2026 20:00:00,SuperSport Extra 2 [217],Sa2,Not Set,Legacy,Tennis, Billie Jean King Cup, World, Spain, Kazakhstan,
, 10086079, 23/09/2026 09:00:00, 23/09/2026 18:00:00,Sport 5 Plus - [56],Israel10,Not Set,Legacy,Tennis, Billie Jean King Cup, World, Spain, Kazakhstan,
fc0fa6e2-850b-4797-8b07-235bd041e8b3, 10077422, 23/09/2026 09:30:00, 23/09/2026 12:30:00,Infront,Euro204,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Admiral, Lokomotiv,
d6fda94b-e1ad-4524-af28-e38b602fe2b6, 10080999, 23/09/2026 09:30:00, 23/09/2026 14:30:00,SPOTV2,NewKorea5,Not Set,Stats Perform,Baseball, South Korea - KBO - Male, South Korea, Doosan Bears, KIA Tigers,
d18a428c-cf65-4f9e-a8b9-6bbf6bdfd3d7, 10080998, 23/09/2026 09:30:00, 23/09/2026 14:30:00,SPOTV,NewKorea4,Not Set,Stats Perform,Baseball, South Korea - KBO - Male, South Korea, KT Wiz, NC Dinos,
a2861e63-b240-4018-800a-6fdc6b4b002d, 10077331, 23/09/2026 09:30:00, 23/09/2026 12:30:00,Infront,Euro202,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Admiral, Lokomotiv,
8c23a3db-ddf2-4351-9af2-2947c2111e6e, 10080473, 23/09/2026 09:30:00, 23/09/2026 12:00:00,ESPN 1 Aus [509],Aus2,Not Set,Stats Perform,Basketball, Australia - NBL - Male, Australia, Cairns Taipans, Tasmania JackJumpers,
8bfd4924-9b91-404c-b147-9b1e176b5bb4, 10080992, 23/09/2026 09:30:00, 23/09/2026 14:30:00,KBSN Sports,NewKorea1,Not Set,Stats Perform,Baseball, South Korea - KBO - Male, South Korea, Hanwha Eagles, Lotte Giants,
, 10073361, 23/09/2026 10:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro109,CRO_CH27,,Tennis, WTA Ankara, Turkey, , ,
, 10079528, 23/09/2026 10:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro106,CRO_CH04,Legacy,Tennis, WTA Porto Open, Portugal, , ,
, 10079529, 23/09/2026 10:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro107,CRO_CH05,Legacy,Tennis, WTA Porto Open, Portugal, , ,
, 10073387, 23/09/2026 10:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro110,CRO_CH28,,Tennis, WTA Ankara, Turkey, , ,
, 10072817, 23/09/2026 10:00:00, 24/09/2026 00:15:00,Stadium Feed,Euro105,CRO_CH02,Legacy,Tennis, WTA Tolentino, Italy, , ,
, 10072819, 23/09/2026 10:00:00, 23/09/2026 23:15:00,Stadium Feed,Euro104,CRO_CH01,Legacy,Tennis, WTA Tolentino, Italy, , ,
10418f35-9c78-4ab0-9ac3-0864643f0f62, 10086844, 23/09/2026 10:30:00, 23/09/2026 13:00:00,beIN Sport 3 - ME [005],Israel7,Not Set,Stats Perform,Soccer, Asia - Asian Games - Male, Asia, Kyrgyz Republic U23, Hong Kong,
, 10086449, 23/09/2026 10:30:00, 23/09/2026 16:30:00,TVP Sport [183],Euro15,EPOL,Legacy,Boxing, Europe Championship, Europe, , ,
2c05eaf3-81e7-4116-a1b4-9219b9282e89, 10079360, 23/09/2026 11:30:00, 23/09/2026 14:00:00,Stadium Feed,Euro101,ADC_CH03,Stats Perform,Basketball, World - FIBA Intercontinental Cup - Male, World, Beijing Royal Fighters, NBA G League United,
, 10083680, 23/09/2026 12:00:00, 23/09/2026 18:00:00,Eurosport Norway HD,Euro66,SCAND-6 N,Legacy,Cycling, Tour of Croatia, Croatia, , ,
, 10058614, 23/09/2026 12:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro129,UZO_CH01,Legacy,Darts, PDC Players Championship, England, , ,
, 10058615, 23/09/2026 12:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro130,UZO_CH02,Legacy,Darts, PDC Players Championship, England, , ,
, 10058616, 23/09/2026 12:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro131,UZO_CH03,Legacy,Darts, PDC Players Championship, England, , ,
, 10058617, 23/09/2026 12:00:00, 23/09/2026 23:00:00,Stadium Feed,Euro132,UZO_CH04,Legacy,Darts, PDC Players Championship, England, , ,
05d1b7e4-3592-488a-a44f-cfe930e5bbc5, 10076453, 23/09/2026 13:00:00, 23/09/2026 15:30:00,Stadium Feed,Euro102,ADC_CH18,Stats Perform,Soccer, World - FIFA U20 Women's World Cup - Female, World, Italy U20, Spain U20,
be52d545-87f1-408b-b9df-bc55e0a2a11d, 10077423, 23/09/2026 14:00:00, 23/09/2026 17:00:00,Infront,Euro207,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Salavat Yulaev, Metallurg Mg,
3e68444d-0f5b-4670-90e4-7be4a20feaff, 10084993, 23/09/2026 14:00:00, 23/09/2026 17:00:00,KHL,Russia3,Not Set,Stats Perform,Ice Hockey, Russia - MHL - Male, Russia, Snezhnye Barsy U20, Omskye Yastreby U20,
283c3bc5-8133-4a9b-a19e-6eaa9fd14ecd, 10083585, 23/09/2026 14:00:00, 23/09/2026 16:30:00,Yes Sport 1 - [63],Israel11,POL-1,Stats Perform,Volleyball, Europe - European Championship - Male, Europe, Belgium, Slovenia,
0935de6d-5f16-4434-aa80-f575ec0416fa, 10077332, 23/09/2026 14:00:00, 23/09/2026 17:00:00,Infront,Euro206,IGM_INF_DSC_DEFAULT,InFront Streaming,Ice Hockey, World - Kontinental Hockey League - Mixed, World, Salavat Yulaev, Metallurg Mg,
, 10083301, 23/09/2026 14:00:00, 24/09/2026 07:00:00,WFAN Sports Radio [101.9],Us28,Not Set,Legacy,Special, News & Live Sport, United States, , ,
, 10083316, 23/09/2026 14:00:00, 24/09/2026 07:00:00,Fox Sports Radio New Jersey [95.9],Us29,Not Set,Legacy,Special, News & Live Sport, United States, , ,
